801EBA50,sActorFaultClient,FaultClient,0x10
801EBA60,D_801ED8B0,CollisionPoly*,0x4
801EBA64,D_801ED8B4,s32,0x4
801EBA68,D_801ED8B8,Actor*,0x4
801EBA6C,D_801ED8BC,Actor*,0x4
801EBA70,D_801ED8C0,Actor*,0x4
801EBA74,D_801ED8C4,Actor*,0x4
801EBA78,D_801ED8C8,f32,0x4
801EBA7C,sBgmEnemyDistSq,f32,0x4
801EBA80,D_801ED8D0,f32,0x4
801EBA84,D_801ED8D4,s32,0x4
801EBA88,D_801ED8D8,s32,0x4
801EBA8C,D_801ED8DC,s16,0x2
801EBA90,D_801ED8E0,Mtx,0x40
801EBAD0,D_801ED920,Actor*,0x4
801ED820,gSaveContext,SaveContext,0x48E8
