801ECB00,sActorFaultClient,FaultClient,0x10
801ECB10,D_801ED8B0,CollisionPoly*,0x4
801ECB14,D_801ED8B4,s32,0x4
801ECB18,D_801ED8B8,Actor*,0x4
801ECB1C,D_801ED8BC,Actor*,0x4
801ECB20,D_801ED8C0,Actor*,0x4
801ECB24,D_801ED8C4,Actor*,0x4
801ECB28,D_801ED8C8,f32,0x4
801ECB2C,sBgmEnemyDistSq,f32,0x4
801ECB30,D_801ED8D0,f32,0x4
801ECB34,D_801ED8D4,s32,0x4
801ECB38,D_801ED8D8,s32,0x4
801ECB3C,D_801ED8DC,s16,0x2
801ECB40,D_801ED8E0,Mtx,0x40
801ECB80,D_801ED920,Actor*,0x4
801EE8D0,gSaveContext,SaveContext,0x48E8
801F31C0,gRegEditor,GameInfo*,0x4
