80080060,bootproc
80080180,Idle_ClearMemory
800801CC,Idle_InitFramebuffer
800801E8,Idle_InitScreen
80080264,Idle_InitMemory
8008036C,Idle_InitCodeAndMemory
8008044C,func_8008044C_npd
8008046C,func_8008046C_npd
800804B0,func_800804B0_npd
80080544,func_80080544_npd
800805C8,Main_ThreadEntry
80080684,Idle_InitVideo
80080828,Idle_ThreadEntry
800816F4,DmaMgr_SendRequestImpl
80082830,__assert_debug
80082910,Fault_AddClient
80084D14,Fault_AddHungupAndCrashImpl
80086AA0,StackCheck_Init
8008A904,sprintf
8008AF30,osRecvMesg
8008CC00,bzero
8008E430,osCreateThread
8008F5A0,osGetThreadId
80090B20,osCreatePiManager
80093E60,osCreateMesgQueue
80095040,osSetThreadPri
800952A0,osViSwapBuffer
8009DC20,osCreateViManager
8009E1B0,osStartThread
800C79EC,Actor_TargetContextInit
800C80F0,func_800B5814
800C86E8,TitleCard_ContextInit
800C8BE4,Actor_InitPlayerImpact
800C9DDC,Actor_SpawnHorse
800CA5A0,Actor_UpdateBgCheckInfo
800CAB08,Hilite_Draw
800CC3B0,Actor_InitHalfDaysBit
800CC400,Actor_InitContext
800CCC00,Actor_UpdateAll
800CF8A4,Actor_SpawnEntry
800CFFF0,func_800BB8EC
800D4950,ActorOverlayTable_Init
800F78B8,Camera_Update
801038C0,SaveContext_Init
80104E30,Debug_DrawText
801435A0,Skybox_UpdateMatrix
801679FC,View_SetPerspective
80168330,View_Apply
8018C72C,ShrinkWindow_Draw
8019CAF4,Play_SetFog
8019F8A0,Play_DrawMain
801A1A50,Play_GetOriginalSceneId
801AA4B0,PreRender_ApplyFiltersSlowlyDestroy
801AB070,THA_GetHead
801AB07C,THA_SetHead
801AB088,THA_GetTail
801AB094,THA_AllocHead
801AB0A8,THA_AllocHeadByte
801AB0E4,THA_AllocTail
801AB154,THA_AllocTailAlign16
801AB174,THA_AllocTailAlign
801AB190,THA_GetRemaining
801AB1A4,THA_IsCrash
801AB1E4,THA_Reset
801AB200,THA_Init
801AB260,THA_Destroy
801ABB70,Game_UpdateFramerateVariables
801AC844,GameState_Draw
801ACE64,GameState_InitArena
801ACF4C,GameState_Realloc
801AD03C,GameState_Init
801AEF14,Graph_Alloc
801AEF64,Graph_OpenDisps
801AEFE4,Graph_CloseDisps
801AF0AC,Graph_BranchDlist
801BDFC8,SkinMatrix_MtxFCopy
